,Start,End,Start_Lat,Start_Lon,End_Lat,End_Lon
143,Warsaw,Lviv,52.2337172,21.071432235636493,49.841952,24.0315921
144,Madrid,Malaga,40.4167047,-3.7035825,36.7213028,-4.4216366
145,Milan,Lugano,45.4641943,9.1896346,46.0050102,8.9520281
146,Frankfurt,Nuremberg,50.1106444,8.6820917,49.453872,11.077298
147,Prague,Bratislava,50.0874654,14.4212535,48.1516988,17.1093063
148,Oslo,Kristiansand,59.9133301,10.7389701,58.085627599999995,7.93185802875815
149,Hamburg,Lübeck,53.550341,10.000654,53.866444,10.684738
150,Paris,Avignon,48.8588897,2.3200410217200766,43.9492493,4.8059012
151,Vienna,Venice,48.2083537,16.3725042,45.4371908,12.3345898
152,Berlin,Poznan,52.5170365,13.3888599,52.4082663,16.9335199
153,Zurich,Chur,47.3744489,8.5410422,46.854747,9.5264904
154,Rome,Genoa,41.8933203,12.4829321,44.40726,8.9338624
155,Brussels,Ghent,50.8550018,4.3512333761166175,51.0538286,3.7250121
156,Amsterdam,Utrecht,52.3730796,4.8924534,52.0907006,5.1215634
157,Copenhagen,Malmo,55.6867243,12.5700724,55.6052931,13.0001566
158,Budapest,Debrecen,47.48138955,19.14609412691246,47.531399,21.6259782
159,Munich,Linz,48.1371079,11.5753822,48.3059078,14.286198
160,London,Brighton,51.4893335,-0.14405508452768728,50.8214626,-0.1400561
161,Stockholm,Linkoping,59.3251172,18.0710935,58.4098135,15.6245252
162,Milan,Siena,45.4641943,9.1896346,43.167205949999996,11.467561040475552
163,Madrid,Toledo,40.4167047,-3.7035825,39.8560679,-4.0239568
164,Paris,Tours,48.8588897,2.3200410217200766,47.3900474,0.6889268
167,Zurich,Freiburg,47.3744489,8.5410422,47.9960901,7.8494005
168,Copenhagen,Gothenburg,55.6867243,12.5700724,57.7072326,11.9670171
169,Brussels,Liège,50.8550018,4.3512333761166175,50.6450944,5.5736112
170,Rome,Lecce,41.8933203,12.4829321,40.152217300000004,18.2260628338229
171,Amsterdam,Eindhoven,52.3730796,4.8924534,51.4392648,5.478633
172,Oslo,Alesund,59.9133301,10.7389701,62.4711412,6.1551755
173,Munich,Budapest,48.1371079,11.5753822,47.48138955,19.14609412691246
174,London,Liverpool,51.4893335,-0.14405508452768728,53.4071991,-2.99168
175,Barcelona,Lleida,41.3828939,2.1774322,41.6147605,0.6267842
176,Dublin,Limerick,53.3493795,-6.2605593,52.661252,-8.6301239
177,Warsaw,Ostrava,52.2337172,21.071432235636493,49.8349139,18.2820084
178,Frankfurt,Luxembourg,50.1106444,8.6820917,49.6112768,6.129799
179,Stockholm,Karlstad,59.3251172,18.0710935,59.3809146,13.5027631
180,Milan,Parma,45.4641943,9.1896346,44.8013678,10.3280833
181,Madrid,Cordoba,40.4167047,-3.7035825,37.8845813,-4.7760138
182,Paris,Rennes,48.8588897,2.3200410217200766,48.1113387,-1.6800198
184,Berlin,Nuremberg,52.5170365,13.3888599,49.453872,11.077298
185,Zurich,Strasbourg,47.3744489,8.5410422,48.584614,7.7507127
186,Copenhagen,Kalmar,55.6867243,12.5700724,56.6628826,16.3662382
187,Brussels,Mons,50.8550018,4.3512333761166175,50.4549568,3.951958
188,London,Sheffield,51.4893335,-0.14405508452768728,53.3806626,-1.4702278
189,Rome,Spoleto,41.8933203,12.4829321,42.7342971,12.7382035
190,Amsterdam,Groningen,52.3730796,4.8924534,53.2190652,6.5680077
192,Munich,Prague,48.1371079,11.5753822,50.0874654,14.4212535
193,Hamburg,Cologne,53.550341,10.000654,43.7218277,0.9774958
195,Vienna,Krakow,48.2083537,16.3725042,50.0469432,19.997153435836697
196,Berlin,Hanover,52.5170365,13.3888599,52.3744779,9.7385532
197,Zurich,Davos,47.3744489,8.5410422,46.796198,9.8236892
198,Copenhagen,Jönköping,55.6867243,12.5700724,57.7825634,14.165719
199,Brussels,Namur,50.8550018,4.3512333761166175,50.4665284,4.8661892
200,London,York,51.4893335,-0.14405508452768728,53.9590555,-1.0815361
201,Rome,Ancona,41.8933203,12.4829321,43.480120400000004,13.218790609151764
202,Madrid,Valladolid,40.4167047,-3.7035825,41.6521328,-4.728562
203,Milan,Trento,45.4641943,9.1896346,46.0664228,11.1257601
204,Amsterdam,The Hague,52.3730796,4.8924534,52.0799838,4.3113461
