,Start,End,Start_Lat,Start_Lon,End_Lat,End_Lon,Distance_km,travel_time
0,Barcelona,Paris,41.3828939,2.1774322,48.8588897,2.3200410217200766,830.9137431078582,8
1,Barcelona,Rome,41.3828939,2.1774322,41.8933203,12.4829321,859.9883684974346,8
2,Barcelona,Amsterdam,41.3828939,2.1774322,52.3730796,4.8924534,1238.9284604932252,12
3,Barcelona,Munich,41.3828939,2.1774322,48.1371079,11.5753822,1055.4019616298497,10
4,Barcelona,London,41.3828939,2.1774322,51.4893335,-0.14405508452768728,1137.3493574186573,11
5,Barcelona,Prague,41.3828939,2.1774322,50.0874654,14.4212535,1354.6562840909776,13
6,Barcelona,Madrid,41.3828939,2.1774322,40.4167047,-3.7035825,506.9220157558597,5
7,Barcelona,Florence,41.3828939,2.1774322,43.7697955,11.2556404,790.5539367800601,7
8,Barcelona,Vienna,41.3828939,2.1774322,48.2083537,16.3725042,1351.957674645003,13
9,Barcelona,Berlin,41.3828939,2.1774322,52.5170365,13.3888599,1499.6969001218376,14
10,Barcelona,Lisbon,41.3828939,2.1774322,38.7077507,-9.1365919,1009.2834115602761,10
11,Barcelona,Budapest,41.3828939,2.1774322,47.48138955,19.14609412691246,1507.108151970783,15
12,Barcelona,Brussels,41.3828939,2.1774322,50.8550018,4.3512333761166175,1066.0530635818777,10
13,Barcelona,Dublin,41.3828939,2.1774322,53.3493795,-6.2605593,1472.7800694728342,14
14,Barcelona,Zurich,41.3828939,2.1774322,47.3744489,8.5410422,836.3121035044425,8
15,Barcelona,Milan,41.3828939,2.1774322,45.4641943,9.1896346,726.1898630174524,7
16,Paris,Rome,48.8588897,2.3200410217200766,41.8933203,12.4829321,1108.5885664981256,11
17,Paris,Amsterdam,48.8588897,2.3200410217200766,52.3730796,4.8924534,431.1690657650334,4
18,Paris,Munich,48.8588897,2.3200410217200766,48.1371079,11.5753822,688.266160735258,6
19,Paris,London,48.8588897,2.3200410217200766,51.4893335,-0.14405508452768728,341.4128298366564,3
20,Paris,Prague,48.8588897,2.3200410217200766,50.0874654,14.4212535,886.6124329090756,8
21,Paris,Madrid,48.8588897,2.3200410217200766,40.4167047,-3.7035825,1052.0367572925056,10
22,Paris,Florence,48.8588897,2.3200410217200766,43.7697955,11.2556404,889.8621053146926,8
23,Paris,Vienna,48.8588897,2.3200410217200766,48.2083537,16.3725042,1038.8407882871575,10
24,Paris,Berlin,48.8588897,2.3200410217200766,52.5170365,13.3888599,880.4355119177426,8
25,Paris,Lisbon,48.8588897,2.3200410217200766,38.7077507,-9.1365919,1453.5703952358579,14
26,Paris,Budapest,48.8588897,2.3200410217200766,47.48138955,19.14609412691246,1258.2253164438075,12
27,Paris,Brussels,48.8588897,2.3200410217200766,50.8550018,4.3512333761166175,265.7324636543021,2
28,Paris,Dublin,48.8588897,2.3200410217200766,53.3493795,-6.2605593,780.5816814235286,7
29,Paris,Zurich,48.8588897,2.3200410217200766,47.3744489,8.5410422,491.5504773816193,4
30,Paris,Milan,48.8588897,2.3200410217200766,45.4641943,9.1896346,642.832744844901,6
31,Rome,Amsterdam,41.8933203,12.4829321,52.3730796,4.8924534,1297.915882855833,12
32,Rome,Munich,41.8933203,12.4829321,48.1371079,11.5753822,697.5485249422838,6
33,Rome,London,41.8933203,12.4829321,51.4893335,-0.14405508452768728,1435.015631182323,14
34,Rome,Prague,41.8933203,12.4829321,50.0874654,14.4212535,922.9971673843365,9
35,Rome,Madrid,41.8933203,12.4829321,40.4167047,-3.7035825,1366.4466723813912,13
36,Rome,Florence,41.8933203,12.4829321,43.7697955,11.2556404,231.34471578778985,2
37,Rome,Vienna,41.8933203,12.4829321,48.2083537,16.3725042,765.5192556100806,7
38,Rome,Berlin,41.8933203,12.4829321,52.5170365,13.3888599,1183.0545335807476,11
39,Rome,Lisbon,41.8933203,12.4829321,38.7077507,-9.1365919,1866.531995798591,18
40,Rome,Budapest,41.8933203,12.4829321,47.48138955,19.14609412691246,814.6168779583054,8
41,Rome,Brussels,41.8933203,12.4829321,50.8550018,4.3512333761166175,1174.7329778037895,11
42,Rome,Dublin,41.8933203,12.4829321,53.3493795,-6.2605593,1888.7173428752683,18
43,Rome,Zurich,41.8933203,12.4829321,47.3744489,8.5410422,684.4754498186569,6
44,Rome,Milan,41.8933203,12.4829321,45.4641943,9.1896346,477.32217854883805,4
45,Amsterdam,Munich,52.3730796,4.8924534,48.1371079,11.5753822,669.6668014847821,6
46,Amsterdam,London,52.3730796,4.8924534,51.4893335,-0.14405508452768728,360.02633094521605,3
47,Amsterdam,Prague,52.3730796,4.8924534,50.0874654,14.4212535,711.8330669887931,7
48,Amsterdam,Madrid,52.3730796,4.8924534,40.4167047,-3.7035825,1481.953707303984,14
49,Amsterdam,Florence,52.3730796,4.8924534,43.7697955,11.2556404,1066.697557810095,10
50,Amsterdam,Vienna,52.3730796,4.8924534,48.2083537,16.3725042,938.6102863617274,9
51,Amsterdam,Berlin,52.3730796,4.8924534,52.5170365,13.3888599,577.6003041328139,5
52,Amsterdam,Lisbon,52.3730796,4.8924534,38.7077507,-9.1365919,1865.663123052861,18
53,Amsterdam,Budapest,52.3730796,4.8924534,47.48138955,19.14609412691246,1156.2937411087055,11
54,Amsterdam,Brussels,52.3730796,4.8924534,50.8550018,4.3512333761166175,173.0103472366887,1
55,Amsterdam,Dublin,52.3730796,4.8924534,53.3493795,-6.2605593,758.1943821210214,7
56,Amsterdam,Zurich,52.3730796,4.8924534,47.3744489,8.5410422,614.5396989258905,6
57,Amsterdam,Milan,52.3730796,4.8924534,45.4641943,9.1896346,829.9927167681699,8
58,Munich,London,48.1371079,11.5753822,51.4893335,-0.14405508452768728,920.8577000712282,9
59,Munich,Prague,48.1371079,11.5753822,50.0874654,14.4212535,300.31465719607996,3
60,Munich,Madrid,48.1371079,11.5753822,40.4167047,-3.7035825,1486.8577666612416,14
61,Munich,Florence,48.1371079,11.5753822,43.7697955,11.2556404,486.0597391257569,4
62,Munich,Vienna,48.1371079,11.5753822,48.2083537,16.3725042,356.8202498271311,3
63,Munich,Berlin,48.1371079,11.5753822,52.5170365,13.3888599,503.98169486969493,5
64,Munich,Lisbon,48.1371079,11.5753822,38.7077507,-9.1365919,1967.9102198780074,19
65,Munich,Budapest,48.1371079,11.5753822,47.48138955,19.14609412691246,571.4752640066407,5
66,Munich,Brussels,48.1371079,11.5753822,50.8550018,4.3512333761166175,603.9708837246864,6
67,Munich,Dublin,48.1371079,11.5753822,53.3493795,-6.2605593,1381.1001782112148,13
68,Munich,Zurich,48.1371079,11.5753822,47.3744489,8.5410422,242.77351051242306,2
69,Munich,Milan,48.1371079,11.5753822,45.4641943,9.1896346,348.47109800207636,3
70,London,Prague,51.4893335,-0.14405508452768728,50.0874654,14.4212535,1037.0816328375379,10
71,London,Madrid,51.4893335,-0.14405508452768728,40.4167047,-3.7035825,1260.884739934213,12
72,London,Florence,51.4893335,-0.14405508452768728,43.7697955,11.2556404,1210.0687653384941,12
73,London,Vienna,51.4893335,-0.14405508452768728,48.2083537,16.3725042,1239.5532780351075,12
74,London,Berlin,51.4893335,-0.14405508452768728,52.5170365,13.3888599,934.9493261669513,9
75,London,Lisbon,51.4893335,-0.14405508452768728,38.7077507,-9.1365919,1584.2395581991457,15
76,London,Budapest,51.4893335,-0.14405508452768728,47.48138955,19.14609412691246,1462.0480848983411,14
77,London,Brussels,51.4893335,-0.14405508452768728,50.8550018,4.3512333761166175,322.15600720625457,3
78,London,Dublin,51.4893335,-0.14405508452768728,53.3493795,-6.2605593,464.55395950482045,4
79,London,Zurich,51.4893335,-0.14405508452768728,47.3744489,8.5410422,777.8321525219507,7
80,London,Milan,51.4893335,-0.14405508452768728,45.4641943,9.1896346,960.4155518772511,9
81,Prague,Madrid,50.0874654,14.4212535,40.4167047,-3.7035825,1775.2311890546116,17
82,Prague,Florence,50.0874654,14.4212535,43.7697955,11.2556404,742.3756029686238,7
83,Prague,Vienna,50.0874654,14.4212535,48.2083537,16.3725042,252.83832253951033,2
84,Prague,Berlin,50.0874654,14.4212535,52.5170365,13.3888599,279.716492174776,2
85,Prague,Lisbon,50.0874654,14.4212535,38.7077507,-9.1365919,2247.6664331996594,22
86,Prague,Budapest,50.0874654,14.4212535,47.48138955,19.14609412691246,452.11389125329936,4
87,Prague,Brussels,50.0874654,14.4212535,50.8550018,4.3512333761166175,719.4036846784292,7
88,Prague,Dublin,50.0874654,14.4212535,53.3493795,-6.2605593,1468.8952441770527,14
89,Prague,Zurich,50.0874654,14.4212535,47.3744489,8.5410422,527.1455021987747,5
90,Prague,Milan,50.0874654,14.4212535,45.4641943,9.1896346,646.1697344015846,6
91,Madrid,Florence,40.4167047,-3.7035825,43.7697955,11.2556404,1290.2982149587015,12
92,Madrid,Vienna,40.4167047,-3.7035825,48.2083537,16.3725042,1813.022482756459,18
93,Madrid,Berlin,40.4167047,-3.7035825,52.5170365,13.3888599,1870.37096700257,18
94,Madrid,Lisbon,40.4167047,-3.7035825,38.7077507,-9.1365919,503.8609621400249,5
95,Madrid,Budapest,40.4167047,-3.7035825,47.48138955,19.14609412691246,1985.6699425755196,19
96,Madrid,Brussels,40.4167047,-3.7035825,50.8550018,4.3512333761166175,1317.3935213693937,13
97,Madrid,Dublin,40.4167047,-3.7035825,53.3493795,-6.2605593,1450.60527279856,14
98,Madrid,Zurich,40.4167047,-3.7035825,47.3744489,8.5410422,1248.7048510633056,12
99,Madrid,Milan,40.4167047,-3.7035825,45.4641943,9.1896346,1190.4148876286881,11
100,Florence,Vienna,43.7697955,11.2556404,48.2083537,16.3725042,632.5971629441473,6
101,Florence,Berlin,43.7697955,11.2556404,52.5170365,13.3888599,985.3824344912846,9
102,Florence,Lisbon,43.7697955,11.2556404,38.7077507,-9.1365919,1794.0625892734236,17
103,Florence,Budapest,43.7697955,11.2556404,47.48138955,19.14609412691246,740.2369101991912,7
104,Florence,Brussels,43.7697955,11.2556404,50.8550018,4.3512333761166175,944.0727174373235,9
105,Florence,Dublin,43.7697955,11.2556404,53.3493795,-6.2605593,1667.4079515353037,16
106,Florence,Zurich,43.7697955,11.2556404,47.3744489,8.5410422,453.1452510471593,4
107,Florence,Milan,43.7697955,11.2556404,45.4641943,9.1896346,249.66553482110015,2
108,Vienna,Berlin,48.2083537,16.3725042,52.5170365,13.3888599,524.0811741028136,5
109,Vienna,Lisbon,48.2083537,16.3725042,38.7077507,-9.1365919,2303.6237250988593,23
110,Vienna,Budapest,48.2083537,16.3725042,47.48138955,19.14609412691246,222.7638687904179,2
111,Vienna,Brussels,48.2083537,16.3725042,50.8550018,4.3512333761166175,917.4018367221454,9
112,Vienna,Dublin,48.2083537,16.3725042,53.3493795,-6.2605593,1687.0080462281649,16
113,Vienna,Zurich,48.2083537,16.3725042,47.3744489,8.5410422,593.7864089816047,5
114,Vienna,Milan,48.2083537,16.3725042,45.4641943,9.1896346,626.7914021580427,6
115,Berlin,Lisbon,52.5170365,13.3888599,38.7077507,-9.1365919,2315.2662299246035,23
116,Berlin,Budapest,52.5170365,13.3888599,47.48138955,19.14609412691246,695.3017400729743,6
117,Berlin,Brussels,52.5170365,13.3888599,50.8550018,4.3512333761166175,651.2960299774612,6
118,Berlin,Dublin,52.5170365,13.3888599,53.3493795,-6.2605593,1320.286573319397,13
119,Berlin,Zurich,52.5170365,13.3888599,47.3744489,8.5410422,669.1703745894879,6
120,Berlin,Milan,52.5170365,13.3888599,45.4641943,9.1896346,842.0342618724935,8
121,Lisbon,Budapest,38.7077507,-9.1365919,47.48138955,19.14609412691246,2482.7246648191112,24
122,Lisbon,Brussels,38.7077507,-9.1365919,50.8550018,4.3512333761166175,1715.2911528210477,17
123,Lisbon,Dublin,38.7077507,-9.1365919,53.3493795,-6.2605593,1642.2541609652146,16
124,Lisbon,Zurich,38.7077507,-9.1365919,47.3744489,8.5410422,1726.2633499243525,17
125,Lisbon,Milan,38.7077507,-9.1365919,45.4641943,9.1896346,1686.5107405420495,16
126,Budapest,Brussels,47.48138955,19.14609412691246,50.8550018,4.3512333761166175,1139.9256850333084,11
127,Budapest,Dublin,47.48138955,19.14609412691246,53.3493795,-6.2605593,1907.8271883413236,19
128,Budapest,Zurich,47.48138955,19.14609412691246,47.3744489,8.5410422,799.5830613608383,7
129,Budapest,Milan,47.48138955,19.14609412691246,45.4641943,9.1896346,796.2139779302457,7
130,Brussels,Dublin,50.8550018,4.3512333761166175,53.3493795,-6.2605593,777.3805760744365,7
131,Brussels,Zurich,50.8550018,4.3512333761166175,47.3744489,8.5410422,493.1725929787467,4
132,Brussels,Milan,50.8550018,4.3512333761166175,45.4641943,9.1896346,698.8385433117281,6
133,Dublin,Zurich,53.3493795,-6.2605593,47.3744489,8.5410422,1241.7488226401856,12
134,Dublin,Milan,53.3493795,-6.2605593,45.4641943,9.1896346,1418.3941710130257,14
135,Zurich,Milan,47.3744489,8.5410422,45.4641943,9.1896346,218.1161691412416,2
