DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG41,2021,863,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2010,776,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2011,776,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2012,776,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2013,774,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2014,774,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2015,772,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2016,782,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2017,782,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2018,782,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2019,782,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2020,782,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,BG42,2021,782,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CY00,2010,,z
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CY00,2011,,z
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CY00,2012,,z
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CY00,2013,,z
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CY00,2014,,z
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CY00,2015,,z
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CY00,2016,,z
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CY00,2017,,z
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CY00,2018,,z
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CY00,2019,,z
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CY00,2020,,z
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CY00,2021,,z
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ01,2010,248,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ01,2011,248,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ01,2012,248,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ01,2013,244,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ01,2014,241,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ01,2015,241,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ01,2016,236,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ01,2017,236,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ01,2018,245,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,CZ01,2019,244,
